"subject","focal","position","pos_num","x","x_lab","y","y_mc","manip_ok","comp","inv_app","inv_dl","inv_cat","x_brand","x_pop","x_rep","x_other_brand","x_other_rep","x_other_pop"
8013,"pop","second",2,0,"low",7,2.474541752,1,1,-0.328532236,2.306693989,-1.230208333,0,0,0,0,0,NA
8013,"rep","third",3,0,"low",7,2.953156823,0,1,-0.328532236,2.306693989,-1.230208333,0,0,0,0,NA,0
8014,"pop","first",1,1,"high",4,-0.525458248,1,0,0.004801097,-1.026639344,-0.355208333,1,1,0,1,0,NA
8014,"brand","second",2,1,"high",4,-0.967413442,1,1,0.004801097,-1.026639344,-0.355208333,1,1,0,NA,0,1
8014,"rep","third",3,0,"low",4,-0.046843177,1,1,0.004801097,-1.026639344,-0.355208333,1,1,0,1,NA,1
8015,"brand","first",1,0,"low",4,-0.967413442,0,0,-1.661865569,0.640027322,-1.230208333,0,1,0,NA,0,1
8015,"pop","second",2,1,"high",4,-0.525458248,1,1,-1.661865569,0.640027322,-1.230208333,0,1,0,0,0,NA
8015,"rep","third",3,0,"low",5,0.953156823,1,1,-1.661865569,0.640027322,-1.230208333,0,1,0,0,NA,1
8016,"rep","first",1,0,"low",4,-0.046843177,1,0,-0.661865569,-0.359972678,-1.230208333,0,0,0,0,NA,0
8016,"pop","second",2,0,"low",4,-0.525458248,1,1,-0.661865569,-0.359972678,-1.230208333,0,0,0,0,0,NA
8016,"brand","third",3,0,"low",4,-0.967413442,1,1,-0.661865569,-0.359972678,-1.230208333,0,0,0,NA,0,0
8017,"rep","first",1,0,"low",6,1.953156823,0,0,0.004801097,0.640027322,0.394791667,1,1,0,1,NA,1
8017,"brand","second",2,1,"high",5,0.032586558,0,1,0.004801097,0.640027322,0.394791667,1,1,0,NA,0,1
8017,"pop","third",3,1,"high",3,-1.525458248,1,1,0.004801097,0.640027322,0.394791667,1,1,0,1,0,NA
8018,"brand","first",1,1,"high",6,1.032586558,0,0,-0.328532236,-0.026639344,0.144791667,1,0,0,NA,0,0
8018,"pop","second",2,0,"low",4,-0.525458248,1,1,-0.328532236,-0.026639344,0.144791667,1,0,0,1,0,NA
8018,"rep","third",3,0,"low",3,-1.046843177,1,1,-0.328532236,-0.026639344,0.144791667,1,0,0,1,NA,0
8019,"rep","first",1,0,"low",5,0.953156823,1,0,0.338134431,-0.693306011,0.394791667,0,0,0,0,NA,0
8019,"brand","second",2,0,"low",5,0.032586558,0,1,0.338134431,-0.693306011,0.394791667,0,0,0,NA,0,0
8019,"pop","third",3,0,"low",6,1.474541752,0,1,0.338134431,-0.693306011,0.394791667,0,0,0,0,0,NA
8020,"brand","first",1,1,"high",7,2.032586558,1,0,1.338134431,-1.359972678,1.019791667,1,1,0,NA,0,1
8020,"pop","second",2,1,"high",7,2.474541752,0,1,1.338134431,-1.359972678,1.019791667,1,1,0,1,0,NA
8020,"rep","third",3,0,"low",5,0.953156823,1,1,1.338134431,-1.359972678,1.019791667,1,1,0,1,NA,1
8021,"pop","first",1,0,"low",6,1.474541752,1,0,0.671467764,0.973360656,0.144791667,0,0,0,0,0,NA
8021,"brand","second",2,0,"low",5,0.032586558,0,1,0.671467764,0.973360656,0.144791667,0,0,0,NA,0,0
8021,"rep","third",3,0,"low",5,0.953156823,1,1,0.671467764,0.973360656,0.144791667,0,0,0,0,NA,0
8023,"pop","first",1,0,"low",6,1.474541752,1,0,0.004801097,-0.693306011,-0.105208333,1,0,1,1,1,NA
8023,"rep","second",2,1,"high",6,1.953156823,1,1,0.004801097,-0.693306011,-0.105208333,1,0,1,1,NA,0
8023,"brand","third",3,1,"high",6,1.032586558,0,1,0.004801097,-0.693306011,-0.105208333,1,0,1,NA,1,0
8024,"brand","first",1,0,"low",4,-0.967413442,0,0,0.338134431,-1.693306011,0.144791667,0,0,0,NA,0,0
8024,"pop","second",2,0,"low",2,-2.525458248,0,1,0.338134431,-1.693306011,0.144791667,0,0,0,0,0,NA
8024,"rep","third",3,0,"low",2,-2.046843177,0,1,0.338134431,-1.693306011,0.144791667,0,0,0,0,NA,0
8026,"brand","first",1,1,"high",7,2.032586558,1,0,1.338134431,-2.693306011,-1.355208333,1,0,1,NA,1,0
